question,document_id
Can you tell me about the different account tiers offered by Fidelity Bank?,1
What kinds of account tiers does Fidelity Bank provide?,1
I'm looking for information on Fidelity Bank's account tier options; what are they?,1
What are the various levels of accounts available at Fidelity Bank?,1
"Fidelity Bank, what are your account tier classifications?",1
Can you tell me what the highest amount I can deposit at Fidelity Bank for a Tier 1 account is?,3
What’s the limit on a single deposit for a Tier 1 account at Fidelity Bank?,3
"I’m curious, what is the maximum amount I can put into my Tier 1 account with Fidelity Bank?",3
How much can I deposit in one go for a Tier 1 account with Fidelity Bank?,3
"Fidelity Bank, what is the max deposit allowed for a Tier 1 account?",3
What steps do I need to follow to open an account at Fidelity Bank?,0
Can you guide me on how to get a Fidelity Bank account?,0
"I want to start banking with Fidelity Bank, what should I do?",0
Where can I find information on opening an account with Fidelity Bank?,0
How can I go about opening a Fidelity Bank account?,0
What is the highest total balance I can have in my Tier 2 account at Fidelity Bank?,5
"Fidelity Bank, can you tell me how much I can keep in my Tier 2 savings account without upgrading?",5
"If my Tier 2 account exceeds a certain amount, what should I do? That's info I need from Fidelity Bank.",5
How much money does my Tier 2 account at Fidelity Bank allow me to hold in total?,5
Could you clarify what the limit is for a Tier 2 account balance at Fidelity Bank?,5
What is the highest total balance allowed for a Tier 1 account at Fidelity Bank?,2
Can I know how much I can keep in my Fidelity Bank Tier 1 savings account before I need to upgrade?,2
"At Fidelity Bank, what is the limit on the cumulative balance for a Tier 1 account?",2
How much money can I have in my Tier 1 account with Fidelity Bank before needing to switch to a Tier 2 or Tier 3?,2
"If I have a Tier 1 account with Fidelity Bank, what’s the maximum balance I can maintain?",2
What documents do I need to provide to open a Tier 1 account at Fidelity Bank?,4
I'm looking to open a Tier 1 account; can you tell me what Fidelity Bank requires document-wise?,4
Could someone explain what I need to have ready for opening a Tier 1 account at Fidelity Bank?,4
"Fidelity Bank, what are the requirements for documents when opening a Tier 1 account?",4
Can I find out the documentation needed to open a Tier 1 with Fidelity Bank?,4
What is the limit on the total balance I can have in a Tier 3 account with Fidelity Bank?,8
How much money can I keep in my Tier 3 account at Fidelity Bank without any restrictions?,8
Can you tell me the maximum total balance allowed for a Tier 3 account at Fidelity Bank?,8
I'm curious about the cumulative balance limit for Tier 3 accounts at Fidelity Bank; is it capped?,8
Does Fidelity Bank place any restrictions on the total balance for a Tier 3 account?,8
What steps do I need to follow to upgrade my account with Fidelity Bank?,11
Can I upgrade my account at Fidelity Bank online?,11
How do I go about upgrading my account at Fidelity Bank?,11
Is there any form I need to fill out for account upgrades at Fidelity Bank?,11
"Fidelity Bank, how can I easily upgrade my account?",11
What do I need to submit to upgrade my account at Fidelity Bank to Tier 3?,10
Can you list the requirements for upgrading to Tier 3 at Fidelity Bank?,10
"If I want to move my account to Tier 3 with Fidelity Bank, what documents are necessary?",10
"Fidelity Bank, could you tell me what paperwork is needed for a Tier 3 account upgrade?",10
I'm looking to upgrade my Fidelity Bank account to Tier 3; what documents should I prepare?,10
What is the maximum amount I can deposit in a Tier 3 account at Fidelity Bank?,9
Can I make a single unlimited deposit for a Tier 3 account with Fidelity Bank?,9
Fidelity Bank allows how much for a single deposit into a Tier 3 account?,9
Is there a cap on the single deposit for Tier 3 accounts at Fidelity Bank?,9
"For a Tier 3 account at Fidelity Bank, what's the highest single deposit allowed?",9
Can you tell me what documentation I need to upgrade my account to Tier 2 at Fidelity Bank?,7
I'm looking to enhance my account to Tier 2; what does Fidelity Bank require from me?,7
What do I have to provide in order to move my account to Tier 2 at Fidelity Bank?,7
"Fidelity Bank, what are the necessary documents for upgrading my account status to Tier 2?",7
"If I want to upgrade to a Tier 2 account, what documents does Fidelity Bank say I need?",7
What is the maximum amount I can deposit at once for a Tier 2 account with Fidelity Bank?,6
Can you tell me the single deposit limit for a Tier 2 account at Fidelity Bank?,6
"Fidelity Bank, what is the highest single deposit I can make into a Tier 2 account?",6
"I'm curious about the maximum single deposit for a Tier 2 account at Fidelity Bank, do you know it?",6
How much can I put in as a single deposit for my Tier 2 account at Fidelity Bank?,6
What is the portal for online account opening at Fidelity Bank for SMEs?,13
Can Fidelity Bank help me open a corporate account online?,13
How does the SME Online Account Opening Portal work at Fidelity Bank?,13
I want to know about the online account opening services for SMEs provided by Fidelity Bank.,13
What is the process for getting an account number online with Fidelity Bank for my SME?,13
What will happen with my account after I create it on the Fidelity Bank portal?,15
Can you explain the process that occurs after I generate an account number with Fidelity Bank?,15
"After opening an account online with Fidelity Bank, what restrictions will I face?",15
I recently opened an account through Fidelity Bank's website; when can I start using it for withdrawals?,15
What is the status of my account at Fidelity Bank once it has been created but not yet documented?,15
What documents do I need to open a corporate account online with Fidelity Bank?,16
Can you tell me the requirements for corporate account opening at Fidelity Bank?,16
"Fidelity Bank, what documents do I need to submit after generating a corporate account number?",16
I want to know what paperwork Fidelity Bank requires for a corporate account on their portal.,16
Are there any document prerequisites for opening a corporate account with Fidelity Bank?,16
Do I need to have my business registered to open a business account with Fidelity Bank?,14
Can I use the Fidelity SME Online Account Opening Portal for my unregistered business?,14
Is it possible to open a business account at Fidelity Bank without my business being registered?,14
What are the requirements for opening a business account through Fidelity Bank's online portal?,14
"If my business isn't registered, can I still get a business account with Fidelity Bank?",14
What types of corporate accounts can I set up with Fidelity Bank?,17
Can you tell me the available SME account options through Fidelity Bank's online portal?,17
I'm looking to open a business account with Fidelity Bank; what are my choices?,17
"Fidelity Bank offers SME accounts, but which specific types can I select from?",17
Could you provide information on the corporate account options available at Fidelity Bank?,17
Can you explain what the Referral Code is for Fidelity Bank?,19
How do I find the Referral Code when opening an account with Fidelity Bank?,19
What does Fidelity Bank mean by Referral Code?,19
"If I was referred to Fidelity Bank, what information do I need regarding the Referral Code?",19
What is the role of the Referral Code in the Fidelity Bank online account opening process?,19
Can I use the Fidelity Bank portal to set up an account for my unregistered business?,18
What types of accounts can unregistered businesses open with Fidelity Bank?,18
Is it possible for unregistered businesses to create an account through Fidelity Bank's online portal?,18
Are there options for unregistered businesses to open accounts at Fidelity Bank?,18
How does Fidelity Bank allow unregistered businesses to open their accounts online?,18
Can I make deposits right away into my new account at Fidelity Bank before it gets regularized?,20
